id,Case number,Party Name,Lawyer,Fixation Time
1,Merrick,MacNeilley,Merrick MacNeilley,5:38 PM
2,Ira,Argente,Ira Argente,11:02 PM
3,Hubey,Turn,Hubey Turn,12:13 PM
4,Wilow,Traviss,Wilow Traviss,9:15 AM
5,Grier,Clothier,Grier Clothier,12:52 PM
6,Dorolisa,O'Connell,Dorolisa O'Connell,3:33 AM
7,Laurella,Lesor,Laurella Lesor,4:53 PM
8,Michal,Wardesworth,Michal Wardesworth,8:50 PM
9,Carmela,Milland,Carmela Milland,6:09 PM
10,Odella,Meric,Odella Meric,8:41 AM
11,Jimmy,Edgeson,Jimmy Edgeson,5:48 AM
12,Shaine,Kitney,Shaine Kitney,9:25 PM
13,Colly,Jurczik,Colly Jurczik,1:37 AM
14,Tommy,Palatino,Tommy Palatino,11:23 AM
15,Siffre,Bennedsen,Siffre Bennedsen,11:03 PM
16,Cass,Pellamonuten,Cass Pellamonuten,11:40 PM
17,Viki,Iacovides,Viki Iacovides,7:03 PM
18,Sloane,Cumine,Sloane Cumine,11:14 PM
19,Tony,Grollmann,Tony Grollmann,5:07 PM
20,Manya,Venton,Manya Venton,2:02 PM
21,Shellie,Triggle,Shellie Triggle,9:11 AM
22,Helge,Brockman,Helge Brockman,4:17 PM
23,Marcy,Quincee,Marcy Quincee,4:07 AM
24,Sallyann,Corbert,Sallyann Corbert,1:26 AM
25,Zorine,Boc,Zorine Boc,5:28 PM
26,Kip,Huggens,Kip Huggens,12:08 AM
27,Garvey,Bebis,Garvey Bebis,3:18 PM
28,Flint,Strauss,Flint Strauss,10:26 PM
29,Mollee,Fitzsimons,Mollee Fitzsimons,1:55 PM
30,Kareem,Moule,Kareem Moule,9:07 PM
31,Perl,Bottoner,Perl Bottoner,12:01 AM
32,Aurore,Jeens,Aurore Jeens,9:43 PM
33,Hamish,Meikle,Hamish Meikle,5:59 AM
34,Corrine,Scandwright,Corrine Scandwright,8:47 AM
35,Adriena,Howsego,Adriena Howsego,5:20 AM
36,Tate,Griffen,Tate Griffen,1:15 PM
37,Eadmund,Pessel,Eadmund Pessel,12:23 PM
38,Koo,Neeves,Koo Neeves,2:53 AM
39,Shena,Abercromby,Shena Abercromby,6:14 PM
40,Paige,Nevison,Paige Nevison,9:28 PM
41,Nikoletta,Cheverton,Nikoletta Cheverton,3:38 AM
42,Kare,Gingell,Kare Gingell,2:22 PM
43,Albert,Igounet,Albert Igounet,3:10 AM
44,Belia,La Grange,Belia La Grange,8:50 AM
45,Fonz,Finnes,Fonz Finnes,1:49 AM
46,Agathe,Miner,Agathe Miner,1:30 PM
47,Odo,Antuoni,Odo Antuoni,11:00 AM
48,Eada,Topliss,Eada Topliss,8:17 AM
49,Benn,Kluger,Benn Kluger,5:05 AM
50,Brice,Verissimo,Brice Verissimo,3:05 AM
